id,date,customer,product,unit,price,quantity,total
70,2025-11-07,明辉五金,气泡膜,个,25.0,20,500.0
71,2025-11-07,宏峰一厂,快递袋,套,36.0,5,180.0
72,2025-11-08,宏峰一厂,20寸纸箱,个,4.8,200,960.0
73,2025-11-08,华盛陶瓷,快递袋,套,45.0,150,6750.0
74,2025-11-11,嘉信玩具,27寸纸箱,个,6.0,15,90.0
75,2025-11-13,宏峰二厂,32寸纸箱,个,9.5,80,760.0
76,2025-11-15,福星灯饰,牛皮胶带,个,4.0,200,800.0
77,2025-11-16,金利来服装,27寸纸箱,个,7.0,80,560.0
78,2025-11-16,永发印刷,快递袋,套,38.0,50,1900.0
79,2025-11-18,明辉五金,珍珠棉,个,15.0,20,300.0
80,2025-11-18,鑫源塑胶,编织袋,个,1.2,15,18.0
81,2025-11-18,永发印刷,气泡膜,个,20.0,100,2000.0
82,2025-11-19,中意电器,27寸纸箱,个,7.0,5,35.0
83,2025-11-19,华盛陶瓷,32寸纸箱,个,11.0,10,110.0
84,2025-11-20,嘉信玩具,封箱胶带,个,5.0,15,75.0
85,2025-11-20,福星灯饰,拉伸膜,个,12.0,10,120.0
86,2025-11-21,利达家具,气泡膜,个,25.0,15,375.0
87,2025-11-21,华盛陶瓷,气泡膜,个,25.0,200,5000.0
88,2025-11-21,中意电器,快递袋,套,45.0,5,225.0
89,2025-11-24,嘉信玩具,气泡膜,个,20.0,300,6000.0
90,2025-11-24,宏峰二厂,27寸纸箱,个,6.5,30,195.0
91,2025-11-27,宏峰二厂,快递袋,套,36.0,15,540.0
92,2025-11-28,金利来服装,透明胶带,套,18.0,500,9000.0
93,2025-12-01,永发印刷,封箱胶带,个,5.0,15,75.0
94,2025-12-01,东升鞋业,飞机盒,个,4.5,150,675.0
95,2025-12-02,嘉信玩具,20寸纸箱,个,4.5,10,45.0
96,2025-12-02,宏峰二厂,27寸纸箱,个,6.5,150,975.0
97,2025-12-03,利达家具,40寸纸箱,个,15.0,80,1200.0
98,2025-12-06,鑫源塑胶,拉伸膜,个,10.0,5,50.0
99,2025-12-07,明辉五金,牛皮胶带,个,4.0,300,1200.0
100,2025-12-07,宏峰二厂,拉伸膜,个,10.5,150,1575.0
101,2025-12-07,福星灯饰,泡沫箱,个,8.0,200,1600.0
102,2025-12-09,福星灯饰,牛皮胶带,个,4.0,15,60.0
103,2025-12-09,中意电器,透明胶带,个,3.5,80,280.0
104,2025-12-14,东升鞋业,珍珠棉,个,15.0,80,1200.0
105,2025-12-16,旺达贸易,牛皮胶带,个,4.0,30,120.0
106,2025-12-16,顺达电子,32寸纸箱,个,9.0,80,720.0
107,2025-12-16,旺达贸易,25寸纸箱,个,9.0,100,900.0
108,2025-12-17,旺达贸易,飞机盒,个,4.5,50,225.0
109,2025-12-21,中意电器,牛皮胶带,个,4.0,20,80.0
110,2025-12-21,宏峰一厂,32寸纸箱,个,9.5,80,760.0
111,2025-12-22,旺达贸易,27寸纸箱,个,7.0,30,210.0
112,2025-12-22,利达家具,快递袋,套,45.0,80,3600.0
113,2025-12-25,旺达贸易,珍珠棉,个,15.0,5,75.0
114,2025-12-25,宏峰二厂,珍珠棉,个,13.0,15,195.0
115,2025-12-26,鑫源塑胶,25寸纸箱,个,7.5,10,75.0
116,2025-12-26,金利来服装,泡沫箱,个,8.0,50,400.0
117,2025-12-27,利达家具,泡沫箱,个,8.0,200,1600.0
118,2025-12-27,嘉信玩具,32寸纸箱,个,9.0,80,720.0
119,2026-01-01,东升鞋业,气泡膜,个,25.0,150,3750.0
120,2026-01-01,鑫源塑胶,泡沫箱,个,6.5,50,325.0
121,2026-01-01,恒丰食品,气泡膜,个,25.0,150,3750.0
122,2026-01-02,恒丰食品,编织袋,个,1.5,300,450.0
123,2026-01-03,顺达电子,气泡膜,个,20.0,80,1600.0
124,2026-01-03,嘉信玩具,20寸纸箱,个,4.5,30,135.0
125,2026-01-06,恒丰食品,珍珠棉,个,15.0,100,1500.0
126,2026-01-07,永发印刷,透明胶带,套,15.0,150,2250.0
127,2026-01-07,华盛陶瓷,透明胶带,个,3.5,300,1050.0
128,2026-01-09,嘉信玩具,珍珠棉,个,12.0,10,120.0
129,2026-01-10,中意电器,牛皮胶带,个,4.0,300,1200.0
130,2026-01-10,鑫源塑胶,牛皮胶带,个,3.5,20,70.0
131,2026-01-10,顺达电子,20寸纸箱,个,4.5,5,22.5
132,2026-01-11,华盛陶瓷,27寸纸箱,个,7.0,100,700.0
133,2026-01-12,永发印刷,透明胶带,套,15.0,500,7500.0
134,2026-01-12,东升鞋业,编织袋,个,1.5,100,150.0
135,2026-01-14,顺达电子,20寸纸箱,个,4.5,10,45.0
136,2026-01-14,中意电器,泡沫箱,个,8.0,20,160.0
137,2026-01-16,东升鞋业,快递袋,套,45.0,100,4500.0
138,2026-01-17,明辉五金,32寸纸箱,个,11.0,100,1100.0
139,2026-01-18,华盛陶瓷,快递袋,套,45.0,150,6750.0
140,2026-01-23,中意电器,飞机盒,个,4.5,200,900.0
141,2026-01-23,旺达贸易,快递袋,套,45.0,80,3600.0
142,2026-01-24,嘉信玩具,飞机盒,个,3.8,15,57.0
143,2026-01-24,东升鞋业,快递袋,个,0.5,100,50.0
144,2026-01-24,鑫源塑胶,牛皮胶带,个,3.5,300,1050.0
145,2026-01-28,中意电器,快递袋,套,45.0,100,4500.0
146,2026-02-03,明辉五金,27寸纸箱,个,7.0,80,560.0
147,2026-02-04,嘉信玩具,飞机盒,个,3.8,80,304.0
148,2026-02-04,宏峰一厂,32寸纸箱,个,9.5,80,760.0
149,2026-02-05,中意电器,20寸纸箱,个,5.5,200,1100.0
150,2026-02-05,恒丰食品,快递袋,个,0.5,5,2.5
151,2026-02-07,鑫源塑胶,编织袋,个,1.2,80,96.0
152,2026-02-07,嘉信玩具,牛皮胶带,个,3.5,100,350.0
153,2026-02-07,明辉五金,封箱胶带,个,6.0,80,480.0
154,2026-02-08,恒丰食品,珍珠棉,个,15.0,300,4500.0
155,2026-02-08,永发印刷,编织袋,个,1.2,500,600.0
156,2026-02-09,华盛陶瓷,40寸纸箱,个,15.0,200,3000.0
157,2026-02-10,福星灯饰,编织袋,个,1.5,200,300.0
158,2026-02-10,金利来服装,20寸纸箱,个,5.5,10,55.0
159,2026-02-11,顺达电子,飞机盒,个,3.8,15,57.0
160,2026-02-11,宏峰一厂,珍珠棉,个,13.0,80,1040.0
161,2026-02-12,华盛陶瓷,珍珠棉,个,15.0,50,750.0
162,2026-02-12,中意电器,编织袋,个,1.5,30,45.0
163,2026-02-15,旺达贸易,泡沫箱,个,8.0,30,240.0
164,2026-02-15,旺达贸易,27寸纸箱,个,7.0,100,700.0
165,2026-02-17,嘉信玩具,25寸纸箱,个,7.5,50,375.0
166,2026-02-18,宏峰二厂,20寸纸箱,个,4.8,5,24.0
167,2026-02-20,明辉五金,20寸纸箱,个,5.5,200,1100.0
168,2026-02-20,顺达电子,牛皮胶带,个,3.5,15,52.5
169,2026-02-20,华盛陶瓷,32寸纸箱,个,11.0,200,2200.0
170,2026-02-23,华盛陶瓷,封箱胶带,个,6.0,50,300.0
171,2026-02-23,顺达电子,32寸纸箱,个,9.0,15,135.0
172,2026-02-23,鑫源塑胶,32寸纸箱,个,9.0,200,1800.0
173,2026-02-25,鑫源塑胶,编织袋,个,1.2,80,96.0
174,2026-02-27,明辉五金,27寸纸箱,个,7.0,200,1400.0
175,2026-02-27,东升鞋业,牛皮胶带,个,4.0,10,40.0
176,2026-02-27,东升鞋业,气泡膜,个,25.0,300,7500.0
177,2026-02-28,宏峰二厂,20寸纸箱,个,4.8,50,240.0
178,2026-02-28,嘉信玩具,泡沫箱,个,6.5,300,1950.0
